neuron,channel
PLNR,EGL-2
PQR,EGL-2
PQR,TAX-2
PVCL,DEG-1
PVCL,GLR-1
PVCL,GLR-2
PVCL,NMR-1
PVCL,UNC-8
PVCL,UNC-36
PVCR,DEG-1
PVCR,GLR-1
PVCR,GLR-2
PVCR,NMR-1
PVCR,UNC-8
PVCR,UNC-36
PVDL,MEC-10
PVDL,OSM-9
PVDR,MEC-10
PVDR,OSM-9
PVM,MEC-10
PVM,UNC-8
PVM,UNC-36
PVQL,GGR-1
PVQL,GLR-1
PVQL,UNC-36
PVQR,GGR-1
PVQR,GLR-1
PVQR,UNC-36
PVR,GGR-1
RIAL,GLR-2
RIAL,MOD-1
RIAR,GLR-2
RIBL,MGL-3
RIBR,MGL-3
RICL,MGL-3
RICR,MGL-3
RID,ACC-4
RID,AVR-14
RID,AVR-15
RID,CLH-1
RID,CLH-2
RID,CLH-3
RID,CLH-4
RID,GGR-1
RID,GLC-3
RID,GLC-4
RID,LGC-55
RID,MEC-10
RID,MOD-1
RID,SLO-2
RID,UNC-8
RID,n/a
RIGL,GLR-1
RIGL,GLR-2
RIGR,GLR-1
RIGR,GLR-2
RIML,GLR-1
RIML,NMR-1
RIMR,GLR-1
RIMR,NMR-1
RIR,GLR-2
RIS,AVR-14
RIS,GLR-1
RIS,UNC-8
RMDDL,GLR-1
RMDDL,GLR-2
RMDDL,LGC-55
RMDDL,MGL-1
RMDDR,GLR-1
RMDDR,GLR-2
RMDDR,LGC-55
RMDDR,MGL-1
RMDL,GLR-1
RMDL,LGC-55
RMDR,GLR-1
RMDR,LGC-55
RMDVL,GLR-1
RMDVL,GLR-2
RMDVL,LGC-55
RMDVL,MGL-1
RMDVL,UNC-36
RMDVR,GLR-1
RMDVR,GLR-2
RMDVR,LGC-55
RMDVR,MGL-1
RMED,AVR-15
RMED,SLO-2
RMED,n/a
RMEL,GLR-1
RMER,GLR-1
RMEV,AVR-15
RMGL,AVR-15
RMGR,AVR-15
SABVL,DEL-1
SABVR,DEL-1
SDQL,LGC-55
SDQL,UNC-36
SDQR,LGC-55
SDQR,UNC-36
SIADL,SUP-9
SIADR,SUP-9
SIAVL,SUP-9
SIAVR,SUP-9
SIBDL,UNC-36
SMDDL,GLR-1
SMDDL,LGC-55
SMDDL,TRP-1
SMDDR,GLR-1
SMDDR,LGC-55
SMDDR,TRP-1
SMDVL,GLR-1
SMDVL,LGC-55
SMDVR,GLR-1
SMDVR,LGC-55
URXL,EGL-2
URXR,EGL-2
URYDL,GLR-1
URYDR,GLR-1
URYVL,GLR-1
URYVR,GLR-1
VA1,ACC-4
VA1,AVR-15
VA1,DEL-1
VA1,LGC-46
VA1,TRP-1
VA1,UNC-8
VA10,ACC-4
VA10,DEL-1
VA10,LGC-46
VA10,TRP-1
VA10,UNC-8
VA11,ACC-4
VA11,DEL-1
VA11,LGC-46
VA11,TRP-1
VA11,UNC-8
VA12,ACC-4
VA12,AVR-15
VA12,DEL-1
VA12,LGC-46
VA12,TRP-1
VA12,UNC-8
VA2,ACC-4
VA2,DEL-1
VA2,LGC-46
VA2,TRP-1
VA2,UNC-8
VA3,ACC-4
VA3,DEL-1
