Source;Target;Weight;Type;PreSynTransmitter;PostSynReceptor
IL2L;RMEV;5;chemical;Acetylcholine;
IL2R;IL1R;2;chemical;Acetylcholine;
IL2R;OLQDR;10;chemical;Acetylcholine;
IL2R;OLQVR;26;chemical;Acetylcholine;
IL2R;OLLR;5;chemical;Acetylcholine;
IL2R;URXR;1;chemical;Acetylcholine;
IL2R;ADER;5;chemical;Acetylcholine;ACR-16
IL2R;RMGR;1;chemical;Acetylcholine;
IL2R;AVER;2;chemical;Acetylcholine;
IL2R;RMDL;3;chemical;Acetylcholine;
IL2R;RMEL;5;chemical;Acetylcholine;
IL2R;RMEV;2;chemical;Acetylcholine;
IL2VL;IL1VL;27;chemical;Acetylcholine;
IL2VL;IL2L;1;chemical;Acetylcholine;
IL2VL;OLQVL;6;chemical;Acetylcholine;
IL2VL;BAGR;1;chemical;Acetylcholine;
IL2VL;RIAL;4;chemical;Acetylcholine;
IL2VL;DVC;1;chemical;Acetylcholine;
IL2VL;RMEL;7;chemical;Acetylcholine;
IL2VL;RMER;6;chemical;Acetylcholine;
IL2VL;RMEV;2;chemical;Acetylcholine;
IL2VR;ADLR;1;chemical;Acetylcholine;
IL2VR;IL1VR;29;chemical;Acetylcholine;
IL2VR;OLQVR;9;chemical;Acetylcholine;
IL2VR;URXR;1;chemical;Acetylcholine;
IL2VR;RIAR;2;chemical;Acetylcholine;
IL2VR;AVAL;1;chemical;Acetylcholine;
IL2VR;RMED;2;chemical;Acetylcholine;
IL2VR;RMEL;8;chemical;Acetylcholine;
IL2VR;RMER;17;chemical;Acetylcholine;
IL2VR;RMEV;15;chemical;Acetylcholine;
IL2VR;SIADR;1;chemical;Acetylcholine;
OLQDL;CEPDL;3;chemical;Glutamate;
OLQDL;URYDL;3;chemical;Glutamate;
OLQDL;RICR;6;chemical;Glutamate;
OLQDL;RMDDL;1;chemical;Glutamate;GLR-1
OLQDL;RMDDR;10;chemical;Glutamate;GLR-1
OLQDL;RMED;1;chemical;Glutamate;AVR-15, GLR-1
OLQDL;RMEL;2;chemical;Glutamate;AVR-15, GLR-1
OLQDL;RMHL;1;chemical;Glutamate;
OLQDL;SIBDL;9;chemical;Glutamate;
OLQDR;IL1DR;1;chemical;Glutamate;
OLQDR;RICL;2;chemical;Glutamate;
OLQDR;RICR;2;chemical;Glutamate;
OLQDR;RMDDL;11;chemical;Glutamate;GLR-1
OLQDR;RMER;1;chemical;Glutamate;AVR-15, GLR-1
OLQDR;RMHR;3;chemical;Glutamate;
OLQDR;SIBDR;6;chemical;Glutamate;
OLQVL;IL2L;1;chemical;Glutamate;
OLQVL;RICL;4;chemical;Glutamate;
OLQVL;AVAL;1;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
OLQVL;AVDR;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
OLQVL;RMDVR;14;chemical;Glutamate;GLR-1
OLQVL;RMHL;2;chemical;Glutamate;
OLQVL;SIBVL;13;chemical;Glutamate;
OLQVR;IL1VR;2;chemical;Glutamate;
OLQVR;RIAR;10;chemical;Glutamate;
OLQVR;RICR;3;chemical;Glutamate;
OLQVR;RMDVL;18;chemical;Glutamate;GLR-1
